Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message,
13439,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2000,14782,,
13440,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2000,25010,,
13441,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2000,49818,,
13442,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2000,53298,,
13443,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2000,30086,,
13444,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2000,28503,,
13445,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2000,14534,,
13446,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),201,Greenpoint,2000,32173,,
13447,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2000,75163,,
13448,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2000,70709,,
13449,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),204,East New York,2000,25308,,
13450,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),205,Sunset Park,2000,27749,,
13451,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),206,Borough Park,2000,76418,,
13452,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2000,69973,,
13453,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,2000,23699,,
13454,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2000,53662,,
13455,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2000,54793,,
13456,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,2000,35002,,
13457,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),301,Washington Heights,2000,68317,,
13458,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,2000,36720,,
13459,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),303,East Harlem,2000,14486,,
13460,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),304,Upper West Side,2000,84654,,
13461,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),305,Upper East Side,2000,58193,,
13462,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,2000,45000,,
13463,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,2000,34635,,
13464,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),308,Greenwich Village - SoHo,2000,34430,,
13465,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,2000,55814,,
13466,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,2000,5247,,
13467,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,2000,58458,,
13468,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),402,West Queens,2000,74155,,
13469,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),403,Flushing - Clearview,2000,36207,,
13470,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),404,Bayside - Little Neck,2000,13796,,
13471,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,2000,62502,,
13472,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),406,Fresh Meadows,2000,15623,,
13473,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),407,Southwest Queens,2000,51328,,
13474,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),408,Jamaica,2000,43523,,
13475,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),409,Southeast Queens,2000,32928,,
13476,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),410,Rockaways,2000,13301,,
13477,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),501,Port Richmond,2000,10854,,
13478,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),502,Stapleton - St. George,2000,16102,,
13479,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),503,Willowbrook,2000,4689,,
13480,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,2000,10456,,